ID,Prediction
1,1
2,2
3,1
4,1
5,1
6,1
7,1
8,1
9,2
10,3
11,1
12,2
13,3
14,1
15,2
16,1
17,2
18,1
19,0
20,1
21,3
22,1
23,2
24,1
25,3
26,1
27,1
28,3
29,0
30,3
31,2
32,3
33,2
34,3
35,1
36,2
37,0
38,1
39,2
40,2
41,0
42,0
43,1
44,1
45,1
46,2
47,1
48,2
49,1
50,3
51,0
52,3
53,3
54,3
55,1
56,0
57,0
58,1
59,1
60,1
61,0
62,1
63,1
64,2
65,1
66,1
67,1
68,0
69,3
70,2
71,1
72,2
73,0
74,2
75,1
76,3
77,3
78,0
79,1
80,1
81,0
82,0
83,1
84,1
85,3
86,0
87,1
88,1
89,2
90,2
91,2
92,0
93,1
94,1
95,2
96,0
97,2
98,0
99,2
100,0
101,1
102,1
103,0
104,1
105,0
106,1
107,1
108,1
109,1
110,1
111,1
112,2
113,3
114,1
115,1
116,2
117,2
118,1
119,1
120,1
121,1
122,3
123,0
124,3
125,1
126,1
127,3
128,3
129,3
130,0
131,2
132,0
133,2
134,1
135,0
136,0
137,3
138,0
139,0
140,2
141,1
142,1
143,0
144,1
145,1
146,0
147,2
148,0
149,0
150,0
151,3
152,1
153,3
154,2
155,2
156,0
157,1
158,2
159,3
160,2
161,1
162,2
163,3
164,0
165,1
166,3
167,1
168,2
169,1
170,2
171,0
172,1
173,0
174,1
175,1
176,0
177,1
178,1
179,1
180,2
181,1
182,1
183,1
184,3
185,2
186,1
187,1
188,2
189,0
190,1
191,1
192,0
193,1
194,1
195,1
196,2
197,1
198,1
199,3
200,3
201,3
202,2
203,0
204,1
205,1
206,1
207,1
208,1
209,0
210,1
211,3
212,2
213,2
214,1
215,0
216,2
217,3
218,3
219,1
220,1
221,2
222,1
223,1
224,1
225,2
226,2
227,3
228,0
229,0
230,1
231,2
232,3
233,3
234,2
235,1
236,3
237,1
238,1
239,1
240,1
241,1
242,1
243,3
244,3
245,1
246,1
247,1
248,1
249,1
250,2
251,2
252,0
253,1
254,3
255,1
256,3
257,1
258,0
259,1
260,3
261,2
262,1
263,1
264,0
265,0
266,2
267,1
268,0
269,1
270,1
271,0
272,2
273,1
274,1
275,0
276,3
277,2
278,0
279,2
280,0
281,0
282,1
283,3
284,1
285,0
286,3
287,1
288,2
289,2
290,2
291,0
292,3
293,0
294,0
295,3
296,0
297,2
298,1
299,1
300,1
301,3
302,2
303,0
304,1
305,0
306,0
307,3
308,1
309,2
310,1
311,1
312,2
313,3
314,1
315,1
316,2
317,1
318,1
319,1
320,1
321,3
322,0
323,2
324,0
325,2
326,0
327,0
328,1
329,1
330,1
331,0
332,1
333,2
334,1
335,2
336,3
337,0
338,1
339,1
340,0
341,0
342,3
343,3
344,2
345,1
346,1
347,3
348,2
349,3
350,3
351,0
352,1
353,0
354,1
355,2
356,1
357,2
358,1
359,3
360,1
361,1
362,1
363,1
364,1
365,3
366,0
367,0
368,3
369,1
370,0
371,1
372,1
373,2
374,3
375,1
376,1
377,2
378,2
379,2
380,0
381,2
382,0
383,2
384,0
385,0
386,2
387,1
388,1
389,3
390,0
391,3
392,0
393,3
394,0
395,1
396,1
397,2
398,0
399,1
400,0
401,0
402,2
403,1
404,0
405,2
406,0
407,2
408,1
409,1
410,2
411,1
412,0
413,3
414,1
415,1
416,1
417,1
418,0
419,3
420,3
421,1
422,0
423,0
424,1
425,1
426,3
427,2
428,1
429,2
430,3
431,1
432,2
433,0
434,3
435,1
436,1
437,0
438,0
439,3
440,3
441,0
442,1
443,2
444,2
445,1
446,3
447,0
448,1
449,1
450,1
451,0
452,1
453,0
454,1
455,1
456,2
457,2
458,2
459,1
460,0
461,0
462,2
463,0
464,1
465,1
466,2
467,2
468,3
469,1
470,1
471,0
472,1
473,0
474,2
475,1
476,2
477,3
478,3
479,1
480,2
481,0
482,1
483,0
484,2
485,3
486,0
487,3
488,0
489,0
490,1
491,2
492,1
493,1
494,2
495,1
496,1
497,0
498,2
499,2
500,1
501,2
502,0
503,1
504,3
505,0
506,1
507,1
508,1
509,3
510,2
511,1
512,2
513,0
514,2
515,1
516,1
517,2
518,2
519,2
520,1
521,3
522,2
523,1
524,3
525,0
526,1
527,1
528,2
529,2
530,2
531,2
532,1
533,1
534,0
535,1
536,1
537,0
538,1
539,1
540,1
541,0
542,1
543,3
544,3
545,0
546,1
547,3
548,1
549,1
550,1
551,1
552,1
553,3
554,2
555,1
556,3
557,3
558,3
559,2
560,1
561,0
562,1
563,1
564,1
